"","id","group","year","wasi_fsiq2"
"M07.Music.Y3","M07","Music","Y3",111
"M09.Music.Y3","M09","Music","Y3",131
"M10.Music.Y3","M10","Music","Y3",108
"M12.Music.Y3","M12","Music","Y3",91
"M17.Music.Y3","M17","Music","Y3",104
"S01.Sport.Y3","S01","Sport","Y3",106
"S04.Sport.Y3","S04","Sport","Y3",116
"S07.Sport.Y3","S07","Sport","Y3",78
"S08.Sport.Y3","S08","Sport","Y3",102
"S17.Sport.Y3","S17","Sport","Y3",99
"S28.Sport.Y3","S28","Sport","Y3",103
"S31.Sport.Y3","S31","Sport","Y3",118
"C02.Control.Y3","C02","Control","Y3",84
"C03.Control.Y3","C03","Control","Y3",94
"C04.Control.Y3","C04","Control","Y3",112
"C07.Control.Y3","C07","Control","Y3",102
"C08.Control.Y3","C08","Control","Y3",93
"C17.Control.Y3","C17","Control","Y3",106
"C19.Control.Y3","C19","Control","Y3",84
"M01.Music.Y3","M01","Music","Y3",131
"M03.Music.Y3","M03","Music","Y3",95
"M11.Music.Y3","M11","Music","Y3",81
"M15.Music.Y3","M15","Music","Y3",96
"S05.Sport.Y3","S05","Sport","Y3",108
"S10.Sport.Y3","S10","Sport","Y3",104
"S14.Sport.Y3","S14","Sport","Y3",103
"S22.Sport.Y3","S22","Sport","Y3",99
"C01.Control.Y3","C01","Control","Y3",95
"C05.Control.Y3","C05","Control","Y3",125
"C06.Control.Y3","C06","Control","Y3",85
"C11.Control.Y3","C11","Control","Y3",89
"C12.Control.Y3","C12","Control","Y3",84
"C18.Control.Y3","C18","Control","Y3",130
"M08.Music.Y3","M08","Music","Y3",NA
"C10.Control.Y3","C10","Control","Y3",NA
"C16.Control.Y3","C16","Control","Y3",NA
"S15.Sport.Y3","S15","Sport","Y3",NA
"S21.Sport.Y3","S21","Sport","Y3",NA
"C09.Control.Y3","C09","Control","Y3",NA
"S02.Sport.Y3","S02","Sport","Y3",NA
"S32.Sport.Y3","S32","Sport","Y3",NA
"M102.Music.Y4","M102","Music","Y4",88
"M106.Music.Y4","M106","Music","Y4",96
"M107.Music.Y4","M107","Music","Y4",84
"M108.Music.Y4","M108","Music","Y4",102
"M109.Music.Y4","M109","Music","Y4",94
"M112.Music.Y4","M112","Music","Y4",110
"M113.Music.Y4","M113","Music","Y4",85
"S101.Sport.Y4","S101","Sport","Y4",100
"S103.Sport.Y4","S103","Sport","Y4",95
"S104.Sport.Y4","S104","Sport","Y4",89
"S105.Sport.Y4","S105","Sport","Y4",106
"S107.Sport.Y4","S107","Sport","Y4",94
"S108.Sport.Y4","S108","Sport","Y4",109
"S109.Sport.Y4","S109","Sport","Y4",102
"S110.Sport.Y4","S110","Sport","Y4",84
"S111.Sport.Y4","S111","Sport","Y4",90
"S114.Sport.Y4","S114","Sport","Y4",89
"S117.Sport.Y4","S117","Sport","Y4",95
"C101.Control.Y4","C101","Control","Y4",75
"C102.Control.Y4","C102","Control","Y4",90
"C107.Control.Y4","C107","Control","Y4",122
"C108.Control.Y4","C108","Control","Y4",100
"C109.Control.Y4","C109","Control","Y4",94
"C111.Control.Y4","C111","Control","Y4",82
"C112.Control.Y4","C112","Control","Y4",85
"C113.Control.Y4","C113","Control","Y4",96
"C114.Control.Y4","C114","Control","Y4",90
"C116.Control.Y4","C116","Control","Y4",101
"C104.Control.Y4","C104","Control","Y4",NA
"M105.Music.Y4","M105","Music","Y4",NA
"S112.Sport.Y4","S112","Sport","Y4",NA
"C115.Control.Y4","C115","Control","Y4",NA
"M101.Music.Y4","M101","Music","Y4",NA
"M104.Music.Y4","M104","Music","Y4",NA
"M110.Music.Y4","M110","Music","Y4",NA
"M111.Music.Y4","M111","Music","Y4",NA
"S106.Sport.Y4","S106","Sport","Y4",NA
"C106.Control.Y4","C106","Control","Y4",NA
"M02.Music.Y4","M02","Music","Y4",97
"M04.Music.Y4","M04","Music","Y4",90
"M05.Music.Y4","M05","Music","Y4",109
"M06.Music.Y4","M06","Music","Y4",75
"M07.Music.Y4","M07","Music","Y4",109
"M09.Music.Y4","M09","Music","Y4",123
"M10.Music.Y4","M10","Music","Y4",104
"M12.Music.Y4","M12","Music","Y4",96
"M17.Music.Y4","M17","Music","Y4",100
"S01.Sport.Y4","S01","Sport","Y4",101
"S04.Sport.Y4","S04","Sport","Y4",108
"S07.Sport.Y4","S07","Sport","Y4",89
"S08.Sport.Y4","S08","Sport","Y4",113
"S17.Sport.Y4","S17","Sport","Y4",106
"S28.Sport.Y4","S28","Sport","Y4",89
"S31.Sport.Y4","S31","Sport","Y4",117
"C02.Control.Y4","C02","Control","Y4",101
"C03.Control.Y4","C03","Control","Y4",84
"C04.Control.Y4","C04","Control","Y4",91
"C07.Control.Y4","C07","Control","Y4",99
"C08.Control.Y4","C08","Control","Y4",92
"C17.Control.Y4","C17","Control","Y4",97
"C19.Control.Y4","C19","Control","Y4",94
"M01.Music.Y4","M01","Music","Y4",119
"M03.Music.Y4","M03","Music","Y4",94
"M11.Music.Y4","M11","Music","Y4",76
"M15.Music.Y4","M15","Music","Y4",101
"S05.Sport.Y4","S05","Sport","Y4",112
"S10.Sport.Y4","S10","Sport","Y4",NA
"S14.Sport.Y4","S14","Sport","Y4",96
"S22.Sport.Y4","S22","Sport","Y4",109
"C01.Control.Y4","C01","Control","Y4",91
"C05.Control.Y4","C05","Control","Y4",115
"C06.Control.Y4","C06","Control","Y4",84
"C11.Control.Y4","C11","Control","Y4",NA
"C12.Control.Y4","C12","Control","Y4",89
"C18.Control.Y4","C18","Control","Y4",133
"M08.Music.Y4","M08","Music","Y4",NA
"C10.Control.Y4","C10","Control","Y4",NA
"C16.Control.Y4","C16","Control","Y4",NA
"S15.Sport.Y4","S15","Sport","Y4",NA
"S21.Sport.Y4","S21","Sport","Y4",NA
"C09.Control.Y4","C09","Control","Y4",NA
"S02.Sport.Y4","S02","Sport","Y4",NA
"S32.Sport.Y4","S32","Sport","Y4",NA
"M102.Music.Y5","M102","Music","Y5",108
"M106.Music.Y5","M106","Music","Y5",NA
"M107.Music.Y5","M107","Music","Y5",74
"M108.Music.Y5","M108","Music","Y5",116
"M109.Music.Y5","M109","Music","Y5",110
"M112.Music.Y5","M112","Music","Y5",NA
"M113.Music.Y5","M113","Music","Y5",85
"S101.Sport.Y5","S101","Sport","Y5",95
"S103.Sport.Y5","S103","Sport","Y5",105
"S104.Sport.Y5","S104","Sport","Y5",84
"S105.Sport.Y5","S105","Sport","Y5",106
"S107.Sport.Y5","S107","Sport","Y5",103
"S108.Sport.Y5","S108","Sport","Y5",104
"S109.Sport.Y5","S109","Sport","Y5",101
"S110.Sport.Y5","S110","Sport","Y5",88
"S111.Sport.Y5","S111","Sport","Y5",101
"S114.Sport.Y5","S114","Sport","Y5",91
"S117.Sport.Y5","S117","Sport","Y5",102
