"","id","group","year","wasi_vci"
"S101.Sport.Y4","S101","Sport","Y4",96
"S103.Sport.Y4","S103","Sport","Y4",99
"S104.Sport.Y4","S104","Sport","Y4",97
"S105.Sport.Y4","S105","Sport","Y4",108
"S107.Sport.Y4","S107","Sport","Y4",98
"S108.Sport.Y4","S108","Sport","Y4",108
"S109.Sport.Y4","S109","Sport","Y4",92
"S110.Sport.Y4","S110","Sport","Y4",90
"S111.Sport.Y4","S111","Sport","Y4",90
"S114.Sport.Y4","S114","Sport","Y4",95
"S117.Sport.Y4","S117","Sport","Y4",103
"C101.Control.Y4","C101","Control","Y4",83
"C102.Control.Y4","C102","Control","Y4",86
"C107.Control.Y4","C107","Control","Y4",118
"C108.Control.Y4","C108","Control","Y4",101
"C109.Control.Y4","C109","Control","Y4",120
"C111.Control.Y4","C111","Control","Y4",79
"C112.Control.Y4","C112","Control","Y4",90
"C113.Control.Y4","C113","Control","Y4",103
"C114.Control.Y4","C114","Control","Y4",90
"C116.Control.Y4","C116","Control","Y4",90
"C104.Control.Y4","C104","Control","Y4",NA
"M105.Music.Y4","M105","Music","Y4",NA
"S112.Sport.Y4","S112","Sport","Y4",NA
"C115.Control.Y4","C115","Control","Y4",NA
"M101.Music.Y4","M101","Music","Y4",NA
"M104.Music.Y4","M104","Music","Y4",NA
"M110.Music.Y4","M110","Music","Y4",NA
"M111.Music.Y4","M111","Music","Y4",NA
"S106.Sport.Y4","S106","Sport","Y4",NA
"C106.Control.Y4","C106","Control","Y4",NA
"M02.Music.Y4","M02","Music","Y4",93
"M04.Music.Y4","M04","Music","Y4",97
"M05.Music.Y4","M05","Music","Y4",107
"M06.Music.Y4","M06","Music","Y4",87
"M07.Music.Y4","M07","Music","Y4",103
"M09.Music.Y4","M09","Music","Y4",113
"M10.Music.Y4","M10","Music","Y4",90
"M12.Music.Y4","M12","Music","Y4",99
"M17.Music.Y4","M17","Music","Y4",98
"S01.Sport.Y4","S01","Sport","Y4",95
"S04.Sport.Y4","S04","Sport","Y4",111
"S07.Sport.Y4","S07","Sport","Y4",95
"S08.Sport.Y4","S08","Sport","Y4",107
"S17.Sport.Y4","S17","Sport","Y4",105
"S28.Sport.Y4","S28","Sport","Y4",95
"S31.Sport.Y4","S31","Sport","Y4",132
"C02.Control.Y4","C02","Control","Y4",102
"C03.Control.Y4","C03","Control","Y4",84
"C04.Control.Y4","C04","Control","Y4",107
"C07.Control.Y4","C07","Control","Y4",114
"C08.Control.Y4","C08","Control","Y4",88
"C17.Control.Y4","C17","Control","Y4",93
"C19.Control.Y4","C19","Control","Y4",91
"M01.Music.Y4","M01","Music","Y4",113
"M03.Music.Y4","M03","Music","Y4",90
"M11.Music.Y4","M11","Music","Y4",70
"M15.Music.Y4","M15","Music","Y4",93
"S05.Sport.Y4","S05","Sport","Y4",111
"S10.Sport.Y4","S10","Sport","Y4",NA
"S14.Sport.Y4","S14","Sport","Y4",108
"S22.Sport.Y4","S22","Sport","Y4",109
"C01.Control.Y4","C01","Control","Y4",96
"C05.Control.Y4","C05","Control","Y4",113
"C06.Control.Y4","C06","Control","Y4",89
"C11.Control.Y4","C11","Control","Y4",NA
"C12.Control.Y4","C12","Control","Y4",97
"C18.Control.Y4","C18","Control","Y4",136
"M08.Music.Y4","M08","Music","Y4",NA
"C10.Control.Y4","C10","Control","Y4",NA
"C16.Control.Y4","C16","Control","Y4",NA
"S15.Sport.Y4","S15","Sport","Y4",NA
"S21.Sport.Y4","S21","Sport","Y4",NA
"C09.Control.Y4","C09","Control","Y4",NA
"S02.Sport.Y4","S02","Sport","Y4",NA
"S32.Sport.Y4","S32","Sport","Y4",NA
"M102.Music.Y5","M102","Music","Y5",114
"M106.Music.Y5","M106","Music","Y5",NA
"M107.Music.Y5","M107","Music","Y5",68
"M108.Music.Y5","M108","Music","Y5",123
"M109.Music.Y5","M109","Music","Y5",115
"M112.Music.Y5","M112","Music","Y5",NA
"M113.Music.Y5","M113","Music","Y5",95
"S101.Sport.Y5","S101","Sport","Y5",79
"S103.Sport.Y5","S103","Sport","Y5",104
"S104.Sport.Y5","S104","Sport","Y5",90
