"","id","group","year","empathy_exact"
"C107.Control.Y3","C107","Control","Y3",1
"C108.Control.Y3","C108","Control","Y3",0.666666667
"C109.Control.Y3","C109","Control","Y3",0.833333333
"C111.Control.Y3","C111","Control","Y3",0.2
"C112.Control.Y3","C112","Control","Y3",0.666666667
"C113.Control.Y3","C113","Control","Y3",0.5
"C114.Control.Y3","C114","Control","Y3",0.166666667
"C116.Control.Y3","C116","Control","Y3",0.666666667
"C104.Control.Y3","C104","Control","Y3",NA
"M105.Music.Y3","M105","Music","Y3",0.666666667
"S112.Sport.Y3","S112","Sport","Y3",0.5
"C115.Control.Y3","C115","Control","Y3",NA
"M101.Music.Y3","M101","Music","Y3",NA
"M104.Music.Y3","M104","Music","Y3",NA
"M110.Music.Y3","M110","Music","Y3",NA
"M111.Music.Y3","M111","Music","Y3",NA
"S106.Sport.Y3","S106","Sport","Y3",NA
"C106.Control.Y3","C106","Control","Y3",NA
"M02.Music.Y3","M02","Music","Y3",0.5
"M04.Music.Y3","M04","Music","Y3",0.833333333
"M05.Music.Y3","M05","Music","Y3",1
"M06.Music.Y3","M06","Music","Y3",0
"M07.Music.Y3","M07","Music","Y3",0.833333333
"M09.Music.Y3","M09","Music","Y3",0.833333333
"M10.Music.Y3","M10","Music","Y3",1
"M12.Music.Y3","M12","Music","Y3",0.833333333
"M17.Music.Y3","M17","Music","Y3",0.333333333
"S01.Sport.Y3","S01","Sport","Y3",0
"S04.Sport.Y3","S04","Sport","Y3",0.166666667
"S07.Sport.Y3","S07","Sport","Y3",0.5
"S08.Sport.Y3","S08","Sport","Y3",0.666666667
"S17.Sport.Y3","S17","Sport","Y3",0.5
"S28.Sport.Y3","S28","Sport","Y3",0.833333333
"S31.Sport.Y3","S31","Sport","Y3",0.333333333
"C02.Control.Y3","C02","Control","Y3",0.5
"C03.Control.Y3","C03","Control","Y3",0
"C04.Control.Y3","C04","Control","Y3",0.833333333
"C07.Control.Y3","C07","Control","Y3",0.5
"C08.Control.Y3","C08","Control","Y3",0.833333333
"C17.Control.Y3","C17","Control","Y3",0.833333333
"C19.Control.Y3","C19","Control","Y3",0.666666667
"M01.Music.Y3","M01","Music","Y3",0.666666667
"M03.Music.Y3","M03","Music","Y3",0.666666667
"M11.Music.Y3","M11","Music","Y3",0.5
"M15.Music.Y3","M15","Music","Y3",0.833333333
"S05.Sport.Y3","S05","Sport","Y3",0.666666667
"S10.Sport.Y3","S10","Sport","Y3",0.5
"S14.Sport.Y3","S14","Sport","Y3",0
"S22.Sport.Y3","S22","Sport","Y3",0
"C01.Control.Y3","C01","Control","Y3",0.5
"C05.Control.Y3","C05","Control","Y3",0.333333333
"C06.Control.Y3","C06","Control","Y3",0.666666667
"C11.Control.Y3","C11","Control","Y3",0.166666667
"C12.Control.Y3","C12","Control","Y3",0.5
"C18.Control.Y3","C18","Control","Y3",0.5
"M08.Music.Y3","M08","Music","Y3",NA
"C10.Control.Y3","C10","Control","Y3",NA
"C16.Control.Y3","C16","Control","Y3",NA
"S15.Sport.Y3","S15","Sport","Y3",NA
